,Article Index,Part,Percentage
1435,33559,NEW YORK - Higher oil prices and,20
3677,27762,"SAN FRANCISCO (Reuters) - Oracle Corp. ;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORCL.O target=/stocks/quickinfo/fullquote"";ORCL.O;/A; on Tuesday reported a 16 percent rise in quarterly profit fueled by steady demand for",60
2055,44591,Net phone,20
3400,88804,Agency awarded $4M in grants to study,20
4422,40427,BEIRUT: UN Mideast envoy Terje Roed Larsen is putting the final touches on a UN report,60
534,97529,"Ricky Ponting hailed two outstanding days of pressure cricket for delivering one of Australia 39;s biggest Test victories over New Zealand, inside four days at the Gabba in Brisbane.",100
4548,5119,Giant US electronics retailer Best Buy has been sued by the State of Ohio over alleged,80
3854,117793,Former Rangers star Ally McCoist has described the current team as powder-puff following their UEFA Cup exit last night. Alex McLeishs side needed only a draw at home to Auxerre to progress to the last 32 but lost 2-0.,100
1596,70026,"Reuters - Aftershocks kept striking northern Japan on Sunday, hours after",40
4003,42230,Hotmail users who use Microsoft 39;s Outlook and Outlook Express clients will now have to pay for the privilege. Users must sign up to,80
2107,36453,Reuters - A Pentagon-run Web site intended to make it easier for Americans overseas to vote by absentee ballot has,60
2289,11800,Shareholders of Belgian brewer Interbrew SA gave unanimous backing Friday to the linkup of their family company with Brazil 39;s Ambev to form the world 39;s largest brewer by volume.,100
3192,35331,BIG TIN firm Sun is planning a brave new world where computing power is sold as,60
382,43737,"Hindi version of Windows XP costs just $36, as the software",60
4725,118372,AUSTRALIANS are continuing to,20
1678,107681,"What is left of this interesting and repulsive week after the dust settles is not the lies, the ostensibly sudden betrayals, the payments to the ultra-Orthodox, the sleazy style, or even Ehud",80
483,26483,"The decades-old design of the Internet is in need of a fundamental overhaul, and Intel and Hewlett-Packard believe they can",80
3903,14342,A fresh round of mass demonstrations over proposed cuts in welfare spending is,80
2493,93354,"The PO Little League will hold an election of officers meeting at 7 pm Thursday at the YMCA. All officers, coaches, volunteers and",80
1274,119033,"TOKYO -- Cisco Systems will open a Tokyo-based research and development center focusing on Internet software and routing technologies in February 2005, the company said in a statement on Thursday.",100
87,111225,"Sales of the Nintendo DS handheld gaming device are going better than expected, prompting Nintendo",60
4332,5857,ATHENS (Reuters) - Sarunas Jasikevicius went on a shooting spree in the last three minutes of play to lift Lithuania to,60
3382,72981,"British American Tobacco, the world 39;s second biggest cigarette maker, has beaten forecasts with a",60
1562,105852,"BOGOTA, Colombia (Reuters) - Colombia's Congress on Tuesday approved a bill allowing Alvaro Uribe, one of few conservative South",60
3982,10045,U.S. law enforcement agents raided five homes and one Internet service provider on Wednesday in what the U.S. Department of,60
972,1783,BRUSSELS One of 15 cardinals with Pope John Paul II during a weekend visit to a French shrine was quoted in Belgian,60
550,28832,"In most of western Europe, easily more than",20
3089,88188,Airline passengers flying out of Evansville will soon have fewer choices. Newswatch has learned one of the airport 39;s major carriers is pulling out.,100
3942,73122,"NEW YORK (Reuters) - Investment manager T. Rowe Price Group Inc. ;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TROW.O target=/stocks/quickinfo/fullquote"";TROW.O;/A; on Tuesday said its",60
2609,109047,Oil prices fell more than a dollar to a three-month low on Tuesday as mild winter weather sapped demand in the heavy energy consuming US northeast.,100
563,14625,Nigerian troops left for Sudan 39;s Darfur province on Monday as part of an African Union force mandated for the,80
1583,55531,AP - Congress passed and sent to legislation President Bush on Saturday that would give rape victims and convicted felons,80
1039,96202," DAR ES SALAAM (Reuters) - U.N Secretary General Kofi Annan  urged leaders of Africa's resource-rich but blood-soaked Great  Lakes region on Friday to implement a peace plan that could  herald a ""new era"" for millions of Africans.",100
1824,102412,"Instead of pursuing a glamour conference, Joe Scott moved to the Ivy League, where players often are more talented in the classroom than they are on the basketball court.",100
2068,3104,"Reuters - A few decades ago, the earliest warning Floridians would have had of a hurricane would have been black clouds on the horizon. Now people are complaining after Hurricane Charley hit shore at a point",80
2537,36404,Los Angeles Dodgers first baseman Shawn Green will definitely sit out at least one game of a weekend series against the San Francisco,60
3289,78908,"An ailing Yasser Arafat entered a fourth day of emergency treatment Monday at a French military hospital specializing in blood disorders, but the cause of his precipitous decline in health remained unexplained.",100
4701,12212,ATLANTA (Sports Network) - Baltimore Ravens star running back Jamal Lewis was,40
1786,626,ATHENS (Reuters) - South Africa ruined Michael Phelps's dream of winning a,40
1112,46347,Synergy was the word Siemens AG used several years ago when it talked about combining its carrier and enterprise network and mobile phone businesses under one roof. Then the company spun off these operations into separate divisions to be able,60
3954,49454,New service lets consumers access an all-in-one mailbox from anywhere with a phone or the Internet.,100
1787,626,ATHENS (Reuters) - South Africa ruined Michael Phelps's dream of winning a record eight gold medals in a,60
858,21514,"BESLAN, Russia (Reuters) - Russia's top general said on Wednesday he was ready to attack ""terrorist bases"" anywhere in the world, as security services put a $10 million bounty on two",80
149,108098,"IBM Corp. has put its PC business up for sale, according to a story published on Friday on the Web site of The New York Times. IBM is discussing selling the business to ",100
2935,15522,Norwegian browser developer Opera Software,20
3404,88804,"Agency awarded  $4M in grants to study the health, environmental risks posed by manufactured nanomaterials -- invisibly tiny materials revolutionizing many industries but its effects on living things remain unknown.;br;;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""666666"";;B;-The Washington Post;/B;;/FONT;",100
1297,29655,VIENNA : The United States presented key EU states with a softened version of an ultimatum over Iran 39;s alleged nuclear weapons program but diplomats said,60
9,65673,JOSE MOURINHO stormed out of a Stamford Bridge press conference yesterday after he was quizzed about drug-cheat striker Adrian Mutu.,100
4133,47688,"Baseball fans across Japan Saturday honored Ichiro Suzuki, the Seattle Mariners 39; Japanese player who broke major league baseball 39;s",80
4921,111675,"Ever want to growl ""shhhhhh!"" to someone who's talking way too loudly",40
729,86150,DAVE WANNSTEDT resigned today as head coach of the Miami Dolphins after the team sank to an NFL-worst 1-8 record. Defensive co-ordinator Jim Bates will take over as interim coach for the remainder of the season.,100
3521,58697,"Symantec said when someon clicks on an infected link in a message, the worm tries to download code",40
2060,79559,Lockheed Martin Corp. said yesterday it will,20
449,108059,Singapore police launch a criminal investigation into the  $550m  trading scandal surrounding collapsed jet fuel supplier China Aviation Oil.,100
1166,24520,Colin Montgomerie believes Europe 39;s team spirit can defeat USA,40
2700,42306,AP - The list,20
4146,35534,Jordan have confirmed that Timo Glock will replace Giorgio Pantano,40
3765,46603,"Maverick, the new supercomputer from",20
111,16099,"THE HAGUE, Aug. 31 -- Former Yugoslav president Slobodan Milosevic launched on Tuesday a defiant",40
3485,5844,The U.S. dollar sank,20
2071,38201,Russian President Vladimir Putin urged Iran on Friday to heed the demands,40
3057,96542,As we exclusively predicted earlier this week Honda has bought into British American Racing. David,60
4474,31936,"Three years after Manila-based Chikka.com launched its mobile instant messenger, Chikka is one of the most viewed and used electronic properties by Filipinos in the Philippines and all over the world, according to the companys chief operating officer ",100
4962,70931,TOKYO (Reuters) - The dollar tumbled to eight-month lows against the euro and six-month troughs versus the yen,60
313,85824,Thousands of fans wait for hours to pick up the first copies of Microsoft's,80
2529,4660,The most hyped new issue since Netscape chalked up a very tidy gain on its first day of trading. Peace reigns in the Valley ...,100
3632,11274,"AP - An NHL executive accused the players' association of conducting ""a charade"" and said the union has no interest in",60
